case_id,group,allocated_images,state,decision,unresolved_reason,exact_extrema,radius,failed_images,nominal_delta,universal_bounds_lower,universal_bounds_upper,attained_bounds_lower,attained_bounds_upper
image-00,singleton,1,complete,supported,,True,0/1,0,2/1,2/1,2/1,2/1,2/1
image-01,singleton,1,complete,supported,,True,0/1,0,3/1,3/1,3/1,3/1,3/1
image-02,singleton,1,complete,supported,,True,0/1,0,2/1,2/1,2/1,2/1,2/1
image-03,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-04,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-05,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-06,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-07,singleton,1,complete,supported,,True,0/1,0,1/1,1/1,1/1,1/1,1/1
image-08,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-09,singleton,1,complete,excluded,,True,0/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-10,singleton,1,complete,supported,,True,0/1,0,2/1,2/1,2/1,2/1,2/1
image-11,singleton,1,complete,supported,,True,0/1,0,4/1,4/1,4/1,4/1,4/1
image-12,singleton,1,complete,excluded,,True,0/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-13,singleton,1,complete,supported,,True,0/1,0,9/1,9/1,9/1,9/1,9/1
image-14,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-15,singleton,1,complete,supported,,True,0/1,0,1/1,1/1,1/1,1/1,1/1
image-16,singleton,1,complete,excluded,,True,0/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-17,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-18,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-19,singleton,1,complete,supported,,True,0/1,0,2/1,2/1,2/1,2/1,2/1
image-20,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-21,singleton,1,complete,supported,,True,0/1,0,1/1,1/1,1/1,1/1,1/1
image-22,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-23,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-24,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-25,singleton,1,complete,excluded,,True,0/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-26,singleton,1,complete,excluded,,True,0/1,0,-3/1,-3/1,-3/1,-3/1,-3/1
image-27,singleton,1,complete,excluded,,True,0/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-28,singleton,1,complete,supported,,True,0/1,0,2/1,2/1,2/1,2/1,2/1
image-29,singleton,1,complete,supported,,True,0/1,0,1/1,1/1,1/1,1/1,1/1
image-30,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-31,singleton,1,complete,supported,,True,0/1,0,2/1,2/1,2/1,2/1,2/1
image-32,singleton,1,complete,supported,,True,0/1,0,1/1,1/1,1/1,1/1,1/1
image-33,singleton,1,complete,supported,,True,0/1,0,4/1,4/1,4/1,4/1,4/1
image-34,singleton,1,complete,supported,,True,0/1,0,1/1,1/1,1/1,1/1,1/1
image-35,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-36,singleton,1,complete,supported,,True,0/1,0,1/1,1/1,1/1,1/1,1/1
image-37,singleton,1,complete,excluded,,True,0/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-38,singleton,1,complete,supported,,True,0/1,0,1/1,1/1,1/1,1/1,1/1
image-39,singleton,1,complete,excluded,,True,0/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-40,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
