case_id,group,radius,allocated_images,state,decision,nominal_delta,lower,upper,minimum_images_for_excluding_world
image-00,singleton,0,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-00,singleton,1,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-00,singleton,2,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-00,singleton,4,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-00,singleton,8,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-00,singleton,16,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-00,singleton,32,1,complete,unresolved,2/1,0/1,4/1,1
image-00,singleton,64,1,complete,unresolved,2/1,0/1,4/1,1
image-01,singleton,0,1,complete,supported,3/1,3/1,3/1,not_possible_in_family
image-01,singleton,1,1,complete,supported,3/1,3/1,5/1,not_possible_in_family
image-01,singleton,2,1,complete,supported,3/1,3/1,5/1,not_possible_in_family
image-01,singleton,4,1,complete,supported,3/1,3/1,5/1,not_possible_in_family
image-01,singleton,8,1,complete,supported,3/1,1/1,5/1,not_possible_in_family
image-01,singleton,16,1,complete,supported,3/1,1/1,5/1,not_possible_in_family
image-01,singleton,32,1,complete,supported,3/1,1/1,5/1,not_possible_in_family
image-01,singleton,64,1,complete,supported,3/1,1/1,5/1,not_possible_in_family
image-02,singleton,0,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-02,singleton,1,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-02,singleton,2,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-02,singleton,4,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-02,singleton,8,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-02,singleton,16,1,complete,unresolved,2/1,0/1,4/1,1
image-02,singleton,32,1,complete,unresolved,2/1,0/1,4/1,1
image-02,singleton,64,1,complete,unresolved,2/1,0/1,4/1,1
image-03,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-03,singleton,1,1,complete,excluded,0/1,0/1,0/1,0
image-03,singleton,2,1,complete,excluded,0/1,0/1,0/1,0
image-03,singleton,4,1,complete,excluded,0/1,0/1,0/1,0
image-03,singleton,8,1,complete,excluded,0/1,0/1,0/1,0
image-03,singleton,16,1,complete,excluded,0/1,0/1,0/1,0
image-03,singleton,32,1,complete,excluded,0/1,0/1,0/1,0
image-03,singleton,64,1,complete,excluded,0/1,-2/1,0/1,0
image-04,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-04,singleton,1,1,complete,excluded,0/1,0/1,0/1,0
image-04,singleton,2,1,complete,excluded,0/1,0/1,0/1,0
image-04,singleton,4,1,complete,excluded,0/1,0/1,0/1,0
image-04,singleton,8,1,complete,excluded,0/1,0/1,0/1,0
image-04,singleton,16,1,complete,unresolved,0/1,0/1,2/1,0
image-04,singleton,32,1,complete,unresolved,0/1,-2/1,2/1,0
image-04,singleton,64,1,complete,unresolved,0/1,-2/1,2/1,0
image-05,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-05,singleton,1,1,complete,excluded,0/1,0/1,0/1,0
image-05,singleton,2,1,complete,unresolved,0/1,0/1,2/1,0
image-05,singleton,4,1,complete,unresolved,0/1,0/1,2/1,0
image-05,singleton,8,1,complete,unresolved,0/1,-2/1,2/1,0
image-05,singleton,16,1,complete,unresolved,0/1,-2/1,2/1,0
image-05,singleton,32,1,complete,unresolved,0/1,-2/1,2/1,0
image-05,singleton,64,1,complete,unresolved,0/1,-2/1,2/1,0
image-06,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-06,singleton,1,1,complete,excluded,0/1,0/1,0/1,0
image-06,singleton,2,1,complete,excluded,0/1,0/1,0/1,0
image-06,singleton,4,1,complete,excluded,0/1,0/1,0/1,0
image-06,singleton,8,1,complete,excluded,0/1,0/1,0/1,0
image-06,singleton,16,1,complete,excluded,0/1,0/1,0/1,0
image-06,singleton,32,1,complete,unresolved,0/1,0/1,2/1,0
image-06,singleton,64,1,complete,unresolved,0/1,-2/1,2/1,0
image-07,singleton,0,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-07,singleton,1,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-07,singleton,2,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-07,singleton,4,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-07,singleton,8,1,complete,supported,1/1,1/1,3/1,not_possible_in_family
image-07,singleton,16,1,complete,unresolved,1/1,-1/1,3/1,1
image-07,singleton,32,1,complete,unresolved,1/1,-1/1,3/1,1
image-07,singleton,64,1,complete,unresolved,1/1,-1/1,3/1,1
image-08,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-08,singleton,1,1,complete,excluded,0/1,-2/1,0/1,0
image-08,singleton,2,1,complete,excluded,0/1,-2/1,0/1,0
image-08,singleton,4,1,complete,excluded,0/1,-2/1,0/1,0
image-08,singleton,8,1,complete,unresolved,0/1,-2/1,2/1,0
image-08,singleton,16,1,complete,unresolved,0/1,-2/1,2/1,0
image-08,singleton,32,1,complete,unresolved,0/1,-2/1,2/1,0
image-08,singleton,64,1,complete,unresolved,0/1,-2/1,2/1,0
image-09,singleton,0,1,complete,excluded,-1/1,-1/1,-1/1,0
image-09,singleton,1,1,complete,excluded,-1/1,-1/1,-1/1,0
image-09,singleton,2,1,complete,excluded,-1/1,-1/1,-1/1,0
image-09,singleton,4,1,complete,excluded,-1/1,-1/1,-1/1,0
image-09,singleton,8,1,complete,excluded,-1/1,-1/1,-1/1,0
image-09,singleton,16,1,complete,unresolved,-1/1,-3/1,1/1,0
image-09,singleton,32,1,complete,unresolved,-1/1,-3/1,1/1,0
image-09,singleton,64,1,complete,unresolved,-1/1,-3/1,1/1,0
image-10,singleton,0,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-10,singleton,1,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-10,singleton,2,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-10,singleton,4,1,complete,unresolved,2/1,0/1,2/1,1
image-10,singleton,8,1,complete,unresolved,2/1,0/1,2/1,1
image-10,singleton,16,1,complete,unresolved,2/1,0/1,4/1,1
image-10,singleton,32,1,complete,unresolved,2/1,0/1,4/1,1
image-10,singleton,64,1,complete,unresolved,2/1,0/1,4/1,1
image-11,singleton,0,1,complete,supported,4/1,4/1,4/1,not_possible_in_family
image-11,singleton,1,1,complete,supported,4/1,4/1,4/1,not_possible_in_family
image-11,singleton,2,1,complete,supported,4/1,4/1,4/1,not_possible_in_family
image-11,singleton,4,1,complete,supported,4/1,4/1,4/1,not_possible_in_family
image-11,singleton,8,1,complete,supported,4/1,2/1,4/1,not_possible_in_family
image-11,singleton,16,1,complete,supported,4/1,2/1,6/1,not_possible_in_family
image-11,singleton,32,1,complete,supported,4/1,2/1,6/1,not_possible_in_family
image-11,singleton,64,1,complete,supported,4/1,2/1,6/1,not_possible_in_family
image-12,singleton,0,1,complete,excluded,-1/1,-1/1,-1/1,0
image-12,singleton,1,1,complete,excluded,-1/1,-1/1,-1/1,0
image-12,singleton,2,1,complete,excluded,-1/1,-1/1,-1/1,0
image-12,singleton,4,1,complete,excluded,-1/1,-1/1,-1/1,0
image-12,singleton,8,1,complete,unresolved,-1/1,-1/1,1/1,0
image-12,singleton,16,1,complete,unresolved,-1/1,-3/1,1/1,0
image-12,singleton,32,1,complete,unresolved,-1/1,-3/1,1/1,0
image-12,singleton,64,1,complete,unresolved,-1/1,-3/1,1/1,0
image-13,singleton,0,1,complete,supported,9/1,9/1,9/1,not_possible_in_family
image-13,singleton,1,1,complete,supported,9/1,7/1,9/1,not_possible_in_family
image-13,singleton,2,1,complete,supported,9/1,7/1,9/1,not_possible_in_family
image-13,singleton,4,1,complete,supported,9/1,7/1,9/1,not_possible_in_family
image-13,singleton,8,1,complete,supported,9/1,7/1,11/1,not_possible_in_family
image-13,singleton,16,1,complete,supported,9/1,7/1,11/1,not_possible_in_family
image-13,singleton,32,1,complete,supported,9/1,7/1,11/1,not_possible_in_family
image-13,singleton,64,1,complete,supported,9/1,7/1,11/1,not_possible_in_family
image-14,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-14,singleton,1,1,complete,excluded,0/1,0/1,0/1,0
image-14,singleton,2,1,complete,excluded,0/1,0/1,0/1,0
image-14,singleton,4,1,complete,excluded,0/1,0/1,0/1,0
image-14,singleton,8,1,complete,excluded,0/1,0/1,0/1,0
image-14,singleton,16,1,complete,excluded,0/1,0/1,0/1,0
image-14,singleton,32,1,complete,unresolved,0/1,-2/1,2/1,0
image-14,singleton,64,1,complete,unresolved,0/1,-2/1,2/1,0
image-15,singleton,0,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-15,singleton,1,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-15,singleton,2,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-15,singleton,4,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-15,singleton,8,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-15,singleton,16,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-15,singleton,32,1,complete,unresolved,1/1,-1/1,1/1,1
image-15,singleton,64,1,complete,unresolved,1/1,-1/1,3/1,1
image-16,singleton,0,1,complete,excluded,-1/1,-1/1,-1/1,0
image-16,singleton,1,1,complete,excluded,-1/1,-1/1,-1/1,0
image-16,singleton,2,1,complete,excluded,-1/1,-1/1,-1/1,0
image-16,singleton,4,1,complete,excluded,-1/1,-1/1,-1/1,0
image-16,singleton,8,1,complete,unresolved,-1/1,-1/1,1/1,0
image-16,singleton,16,1,complete,unresolved,-1/1,-1/1,1/1,0
image-16,singleton,32,1,complete,unresolved,-1/1,-1/1,1/1,0
image-16,singleton,64,1,complete,unresolved,-1/1,-1/1,1/1,0
image-17,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-17,singleton,1,1,complete,excluded,0/1,0/1,0/1,0
image-17,singleton,2,1,complete,excluded,0/1,0/1,0/1,0
image-17,singleton,4,1,complete,excluded,0/1,0/1,0/1,0
image-17,singleton,8,1,complete,excluded,0/1,0/1,0/1,0
image-17,singleton,16,1,complete,excluded,0/1,0/1,0/1,0
image-17,singleton,32,1,complete,unresolved,0/1,-2/1,2/1,0
image-17,singleton,64,1,complete,unresolved,0/1,-2/1,2/1,0
image-18,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-18,singleton,1,1,complete,excluded,0/1,0/1,0/1,0
image-18,singleton,2,1,complete,excluded,0/1,0/1,0/1,0
image-18,singleton,4,1,complete,excluded,0/1,0/1,0/1,0
image-18,singleton,8,1,complete,excluded,0/1,0/1,0/1,0
image-18,singleton,16,1,complete,excluded,0/1,0/1,0/1,0
image-18,singleton,32,1,complete,excluded,0/1,0/1,0/1,0
image-18,singleton,64,1,complete,excluded,0/1,0/1,0/1,0
image-19,singleton,0,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-19,singleton,1,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-19,singleton,2,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-19,singleton,4,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-19,singleton,8,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-19,singleton,16,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-19,singleton,32,1,complete,unresolved,2/1,0/1,4/1,1
image-19,singleton,64,1,complete,unresolved,2/1,0/1,4/1,1
image-20,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-20,singleton,1,1,complete,excluded,0/1,0/1,0/1,0
image-20,singleton,2,1,complete,excluded,0/1,0/1,0/1,0
image-20,singleton,4,1,complete,excluded,0/1,0/1,0/1,0
image-20,singleton,8,1,complete,excluded,0/1,0/1,0/1,0
image-20,singleton,16,1,complete,unresolved,0/1,0/1,2/1,0
image-20,singleton,32,1,complete,unresolved,0/1,-2/1,2/1,0
image-20,singleton,64,1,complete,unresolved,0/1,-2/1,2/1,0
image-21,singleton,0,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-21,singleton,1,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-21,singleton,2,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-21,singleton,4,1,complete,unresolved,1/1,-1/1,1/1,1
image-21,singleton,8,1,complete,unresolved,1/1,-1/1,1/1,1
image-21,singleton,16,1,complete,unresolved,1/1,-1/1,3/1,1
image-21,singleton,32,1,complete,unresolved,1/1,-1/1,3/1,1
image-21,singleton,64,1,complete,unresolved,1/1,-1/1,3/1,1
image-22,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-22,singleton,1,1,complete,excluded,0/1,0/1,0/1,0
image-22,singleton,2,1,complete,excluded,0/1,0/1,0/1,0
image-22,singleton,4,1,complete,excluded,0/1,0/1,0/1,0
image-22,singleton,8,1,complete,excluded,0/1,0/1,0/1,0
image-22,singleton,16,1,complete,unresolved,0/1,-2/1,2/1,0
image-22,singleton,32,1,complete,unresolved,0/1,-2/1,2/1,0
image-22,singleton,64,1,complete,unresolved,0/1,-2/1,2/1,0
image-23,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-23,singleton,1,1,complete,excluded,0/1,0/1,0/1,0
image-23,singleton,2,1,complete,excluded,0/1,0/1,0/1,0
image-23,singleton,4,1,complete,excluded,0/1,0/1,0/1,0
image-23,singleton,8,1,complete,excluded,0/1,0/1,0/1,0
image-23,singleton,16,1,complete,excluded,0/1,0/1,0/1,0
image-23,singleton,32,1,complete,excluded,0/1,0/1,0/1,0
image-23,singleton,64,1,complete,excluded,0/1,0/1,0/1,0
image-24,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-24,singleton,1,1,complete,excluded,0/1,0/1,0/1,0
image-24,singleton,2,1,complete,excluded,0/1,0/1,0/1,0
image-24,singleton,4,1,complete,excluded,0/1,0/1,0/1,0
image-24,singleton,8,1,complete,excluded,0/1,0/1,0/1,0
image-24,singleton,16,1,complete,excluded,0/1,-2/1,0/1,0
image-24,singleton,32,1,complete,unresolved,0/1,-2/1,2/1,0
image-24,singleton,64,1,complete,unresolved,0/1,-2/1,2/1,0
image-25,singleton,0,1,complete,excluded,-1/1,-1/1,-1/1,0
image-25,singleton,1,1,complete,excluded,-1/1,-1/1,-1/1,0
image-25,singleton,2,1,complete,excluded,-1/1,-1/1,-1/1,0
image-25,singleton,4,1,complete,excluded,-1/1,-1/1,-1/1,0
image-25,singleton,8,1,complete,excluded,-1/1,-3/1,-1/1,0
image-25,singleton,16,1,complete,unresolved,-1/1,-3/1,1/1,0
image-25,singleton,32,1,complete,unresolved,-1/1,-3/1,1/1,0
image-25,singleton,64,1,complete,unresolved,-1/1,-3/1,1/1,0
image-26,singleton,0,1,complete,excluded,-3/1,-3/1,-3/1,0
image-26,singleton,1,1,complete,excluded,-3/1,-3/1,-1/1,0
image-26,singleton,2,1,complete,excluded,-3/1,-3/1,-1/1,0
image-26,singleton,4,1,complete,excluded,-3/1,-3/1,-1/1,0
image-26,singleton,8,1,complete,excluded,-3/1,-3/1,-1/1,0
image-26,singleton,16,1,complete,unresolved,-3/1,-3/1,1/1,0
image-26,singleton,32,1,complete,unresolved,-3/1,-5/1,1/1,0
image-26,singleton,64,1,complete,unresolved,-3/1,-5/1,1/1,0
image-27,singleton,0,1,complete,excluded,-1/1,-1/1,-1/1,0
image-27,singleton,1,1,complete,excluded,-1/1,-1/1,-1/1,0
image-27,singleton,2,1,complete,excluded,-1/1,-1/1,-1/1,0
