case_id,group,family,state,allocated_images,share,miss_fp_ratio,lower,upper,decision,opposite_worlds
image-00,singleton,exact_projection,complete,1,0/1,0/1,2/1,2/1,supported,False
image-00,singleton,exact_projection,complete,1,1/5,1/4,8/5,8/5,supported,False
image-00,singleton,exact_projection,complete,1,1/3,1/2,4/3,4/3,supported,False
image-00,singleton,exact_projection,complete,1,1/2,1/1,1/1,1/1,supported,False
image-00,singleton,exact_projection,complete,1,2/3,2/1,2/3,2/3,supported,False
image-00,singleton,exact_projection,complete,1,4/5,4/1,2/5,2/5,supported,False
image-00,singleton,exact_projection,complete,1,8/9,8/1,2/9,2/9,supported,False
image-00,singleton,exact_projection,complete,1,16/17,16/1,2/17,2/17,supported,False
image-00,singleton,exact_projection,complete,1,1/1,miss_only,0/1,0/1,excluded,False
image-00,singleton,one_edit_global,complete,1,0/1,0/1,1/1,3/1,supported,False
image-00,singleton,one_edit_global,complete,1,1/5,1/4,3/5,13/5,supported,False
image-00,singleton,one_edit_global,complete,1,1/3,1/2,1/3,7/3,supported,False
image-00,singleton,one_edit_global,complete,1,1/2,1/1,0/1,2/1,unresolved,True
image-00,singleton,one_edit_global,complete,1,2/3,2/1,-1/3,5/3,unresolved,True
image-00,singleton,one_edit_global,complete,1,4/5,4/1,-3/5,7/5,unresolved,True
image-00,singleton,one_edit_global,complete,1,8/9,8/1,-7/9,11/9,unresolved,True
image-00,singleton,one_edit_global,complete,1,16/17,16/1,-15/17,19/17,unresolved,True
image-00,singleton,one_edit_global,complete,1,1/1,miss_only,-1/1,1/1,unresolved,True
image-00,singleton,one_edit_per_image,complete,1,0/1,0/1,1/1,3/1,supported,False
image-00,singleton,one_edit_per_image,complete,1,1/5,1/4,3/5,13/5,supported,False
image-00,singleton,one_edit_per_image,complete,1,1/3,1/2,1/3,7/3,supported,False
image-00,singleton,one_edit_per_image,complete,1,1/2,1/1,0/1,2/1,unresolved,True
image-00,singleton,one_edit_per_image,complete,1,2/3,2/1,-1/3,5/3,unresolved,True
image-00,singleton,one_edit_per_image,complete,1,4/5,4/1,-3/5,7/5,unresolved,True
image-00,singleton,one_edit_per_image,complete,1,8/9,8/1,-7/9,11/9,unresolved,True
image-00,singleton,one_edit_per_image,complete,1,16/17,16/1,-15/17,19/17,unresolved,True
image-00,singleton,one_edit_per_image,complete,1,1/1,miss_only,-1/1,1/1,unresolved,True
image-00,singleton,axis_translation_1_1,complete,1,0/1,0/1,2/1,2/1,supported,False
image-00,singleton,axis_translation_1_1,complete,1,1/5,1/4,8/5,8/5,supported,False
image-00,singleton,axis_translation_1_1,complete,1,1/3,1/2,4/3,4/3,supported,False
image-00,singleton,axis_translation_1_1,complete,1,1/2,1/1,1/1,1/1,supported,False
image-00,singleton,axis_translation_1_1,complete,1,2/3,2/1,2/3,2/3,supported,False
image-00,singleton,axis_translation_1_1,complete,1,4/5,4/1,2/5,2/5,supported,False
image-00,singleton,axis_translation_1_1,complete,1,8/9,8/1,2/9,2/9,supported,False
image-00,singleton,axis_translation_1_1,complete,1,16/17,16/1,2/17,2/17,supported,False
image-00,singleton,axis_translation_1_1,complete,1,1/1,miss_only,0/1,0/1,excluded,False
image-00,singleton,axis_translation_2_1,complete,1,0/1,0/1,2/1,2/1,supported,False
image-00,singleton,axis_translation_2_1,complete,1,1/5,1/4,8/5,8/5,supported,False
image-00,singleton,axis_translation_2_1,complete,1,1/3,1/2,4/3,4/3,supported,False
image-00,singleton,axis_translation_2_1,complete,1,1/2,1/1,1/1,1/1,supported,False
image-00,singleton,axis_translation_2_1,complete,1,2/3,2/1,2/3,2/3,supported,False
image-00,singleton,axis_translation_2_1,complete,1,4/5,4/1,2/5,2/5,supported,False
image-00,singleton,axis_translation_2_1,complete,1,8/9,8/1,2/9,2/9,supported,False
image-00,singleton,axis_translation_2_1,complete,1,16/17,16/1,2/17,2/17,supported,False
image-00,singleton,axis_translation_2_1,complete,1,1/1,miss_only,0/1,0/1,excluded,False
image-00,singleton,axis_translation_4_1,complete,1,0/1,0/1,2/1,2/1,supported,False
image-00,singleton,axis_translation_4_1,complete,1,1/5,1/4,8/5,8/5,supported,False
image-00,singleton,axis_translation_4_1,complete,1,1/3,1/2,4/3,4/3,supported,False
image-00,singleton,axis_translation_4_1,complete,1,1/2,1/1,1/1,1/1,supported,False
image-00,singleton,axis_translation_4_1,complete,1,2/3,2/1,2/3,2/3,supported,False
image-00,singleton,axis_translation_4_1,complete,1,4/5,4/1,2/5,2/5,supported,False
image-00,singleton,axis_translation_4_1,complete,1,8/9,8/1,2/9,2/9,supported,False
image-00,singleton,axis_translation_4_1,complete,1,16/17,16/1,2/17,2/17,supported,False
image-00,singleton,axis_translation_4_1,complete,1,1/1,miss_only,0/1,0/1,excluded,False
image-00,singleton,axis_translation_8_1,complete,1,0/1,0/1,2/1,2/1,supported,False
image-00,singleton,axis_translation_8_1,complete,1,1/5,1/4,8/5,8/5,supported,False
image-00,singleton,axis_translation_8_1,complete,1,1/3,1/2,4/3,4/3,supported,False
image-00,singleton,axis_translation_8_1,complete,1,1/2,1/1,1/1,1/1,supported,False
image-00,singleton,axis_translation_8_1,complete,1,2/3,2/1,2/3,2/3,supported,False
image-00,singleton,axis_translation_8_1,complete,1,4/5,4/1,2/5,2/5,supported,False
image-00,singleton,axis_translation_8_1,complete,1,8/9,8/1,2/9,2/9,supported,False
image-00,singleton,axis_translation_8_1,complete,1,16/17,16/1,2/17,2/17,supported,False
image-00,singleton,axis_translation_8_1,complete,1,1/1,miss_only,0/1,0/1,excluded,False
image-00,singleton,axis_translation_16_1,complete,1,0/1,0/1,2/1,2/1,supported,False
image-00,singleton,axis_translation_16_1,complete,1,1/5,1/4,8/5,8/5,supported,False
image-00,singleton,axis_translation_16_1,complete,1,1/3,1/2,4/3,4/3,supported,False
image-00,singleton,axis_translation_16_1,complete,1,1/2,1/1,1/1,1/1,supported,False
image-00,singleton,axis_translation_16_1,complete,1,2/3,2/1,2/3,2/3,supported,False
image-00,singleton,axis_translation_16_1,complete,1,4/5,4/1,2/5,2/5,supported,False
image-00,singleton,axis_translation_16_1,complete,1,8/9,8/1,2/9,2/9,supported,False
image-00,singleton,axis_translation_16_1,complete,1,16/17,16/1,2/17,2/17,supported,False
image-00,singleton,axis_translation_16_1,complete,1,1/1,miss_only,0/1,0/1,excluded,False
image-00,singleton,axis_translation_32_1,complete,1,0/1,0/1,1/1,3/1,supported,False
image-00,singleton,axis_translation_32_1,complete,1,1/5,1/4,3/5,13/5,supported,False
image-00,singleton,axis_translation_32_1,complete,1,1/3,1/2,1/3,7/3,supported,False
image-00,singleton,axis_translation_32_1,complete,1,1/2,1/1,0/1,2/1,unresolved,True
image-00,singleton,axis_translation_32_1,complete,1,2/3,2/1,-1/3,5/3,unresolved,True
image-00,singleton,axis_translation_32_1,complete,1,4/5,4/1,-3/5,7/5,unresolved,True
image-00,singleton,axis_translation_32_1,complete,1,8/9,8/1,-7/9,11/9,unresolved,True
image-00,singleton,axis_translation_32_1,complete,1,16/17,16/1,-15/17,19/17,unresolved,True
